transaction_id,timestamp,customer_id,amount,merchant,category,location,device,channel,payment_type,ip_address,is_fraud,fraud_type,notes
TXN_000174,2025-09-26 21:50:00,CUST_00057,293.99,McDonalds,grocery,"Hyderabad, TS",ATM,UPI,Net Banking,189.140.57.147,0,,
TXN_000149,2025-08-24 05:08:00,CUST_00018,731.42,Airtel,financial,"Mumbai, MH",UPI App,Mobile App,UPI,154.45.118.18,0,,
TXN_000172,2025-09-16 21:02:00,CUST_00019,600.04,Jio,financial,"Kolkata, WB",UPI App,Internet Banking,Wallet,91.135.147.36,0,,
TXN_000023,2025-09-29 02:54:00,CUST_00071,806.86,PhonePe,food,"Mumbai, MH",Web Browser,UPI,Net Banking,207.201.79.237,0,,
TXN_000056,2025-09-28 16:53:00,CUST_00004,1399.43,Amazon,transport,"Jaipur, RJ",ATM,Mobile App,Credit Card,176.248.149.131,0,,
TXN_000133,2025-08-14 15:11:00,CUST_00031,1418.93,Swiggy,retail,"Kolkata, WB",Web Browser,Branch,UPI,212.244.151.95,0,,
TXN_000075,2025-08-22 22:54:00,CUST_00029,1251.11,HDFC Bank,retail,Singapore,ATM,Branch,Net Banking,67.240.41.83,0,,
TXN_000081,2025-09-24 14:22:00,CUST_00068,645.2,Swiggy,transport,"Pune, MH",iOS App,Mobile App,Credit Card,89.203.25.173,0,,
TXN_000190,2025-09-19 13:45:00,CUST_00027,979.55,HDFC Bank,food,"Delhi, DL",iOS App,Internet Banking,UPI,160.39.232.157,0,,
TXN_000194,2025-09-27 14:40:00,CUST_00020,2199.14,Target,food,"Kolkata, WB",Web Browser,Mobile App,Wallet,144.40.26.46,0,,
TXN_000197,2025-08-14 15:27:00,CUST_00040,50,Zomato,travel,"Chennai, TN",ATM,Branch,Debit Card,166.201.43.149,0,,
TXN_000183,2025-09-19 10:39:00,CUST_00013,570.66,Jio,retail,"Hyderabad, TS",iOS App,POS,Credit Card,171.28.117.99,0,,
TXN_000138,2025-09-06 18:26:00,CUST_00054,2875.04,Airbnb,utilities,"Kolkata, WB",Android App,Branch,Debit Card,79.55.201.136,0,,
TXN_000193,2025-10-02 18:00:00,CUST_00064,692.97,BigBasket,food,"Roorkee, UK",iOS App,Mobile App,Credit Card,60.130.186.99,0,,
TXN_000068,2025-09-18 18:17:00,CUST_00029,352.46,Amazon,electronics,"Chennai, TN",Web Browser,UPI,Net Banking,212.250.190.28,0,,
TXN_000164,2025-09-17 23:28:00,CUST_00033,3975.94,Myntra,food,"Ahmedabad, GJ",UPI App,POS,Wallet,58.212.184.180,0,,
TXN_000048,2025-08-28 02:27:00,CUST_00020,401.59,Airtel,entertainment,"Kolkata, WB",ATM,POS,Net Banking,125.230.219.79,0,,
TXN_000148,2025-09-08 18:44:00,CUST_00020,601.82,Booking.com,transport,"Hyderabad, TS",ATM,Branch,Net Banking,166.53.180.44,0,,
TXN_000065,2025-09-01 16:03:00,CUST_00074,1234.01,Jio,utilities,"Mumbai, MH",Web Browser,Internet Banking,Wallet,139.66.97.159,0,,
TXN_000069,2025-09-17 18:19:00,CUST_00030,2582.83,Ola,grocery,"Delhi, DL",ATM,Mobile App,Credit Card,60.19.155.127,0,,
TXN_000084,2025-09-12 18:34:00,CUST_00051,755.85,Myntra,retail,"Pune, MH",Web Browser,Mobile App,Net Banking,54.93.87.206,0,,
TXN_000090,2025-09-24 19:10:00,CUST_00032,1154.84,MakeMyTrip,grocery,"Kolkata, WB",UPI App,Branch,Debit Card,65.94.48.143,0,,
TXN_000107,2025-09-26 01:53:00,CUST_00048,821.76,Zomato,utilities,"Jaipur, RJ",iOS App,Branch,Credit Card,176.142.198.234,0,,
TXN_000030,2025-09-17 16:56:00,CUST_00031,543.83,Amazon,entertainment,"Mumbai, MH",ATM,POS,Wallet,98.193.196.127,0,,
TXN_000119,2025-08-31 01:21:00,CUST_00007,37110.44,Apple Store,financial,"Kolkata, WB",UPI App,UPI,UPI,81.34.201.96,1,unusual_merchant,High value transaction at merchant outside normal customer spending pattern
TXN_000114,2025-09-16 19:42:00,CUST_00074,2311.52,Croma,entertainment,"Roorkee, UK",UPI App,ATM,Net Banking,111.216.207.77,0,,
TXN_000018,2025-09-11 21:01:00,CUST_00031,360.44,Tata Power,electronics,"Delhi, DL",Web Browser,Internet Banking,Debit Card,110.77.202.34,0,,
TXN_000067,2025-08-24 22:09:00,CUST_00026,91364.22,IRCTC,food,"Dubai, UAE",Web Browser,Branch,Debit Card,78.129.38.37,1,high_value_international,High-value transaction from international location outside customer profile
TXN_000051,2025-10-01 01:13:00,CUST_00015,40744.97,IRCTC,financial,"New York, USA",POS Terminal,ATM,Net Banking,80.129.155.180,1,impossible_travel,Geographically impossible travel time from previous transaction location
TXN_000162,2025-09-25 01:10:00,CUST_00041,37263.29,Netflix,food,Singapore,ATM,ATM,UPI,193.61.92.175,1,high_value_international,High-value transaction from international location outside customer profile
TXN_000129,2025-09-22 14:31:00,CUST_00008,6945.23,Target,travel,"Mumbai, MH",iOS App,POS,Net Banking,96.249.148.225,1,velocity_attack,Velocity cluster - multiple transactions in under 25 minutes
TXN_000159,2025-08-09 20:50:00,CUST_00077,508.2,Target,utilities,"Jaipur, RJ",UPI App,POS,Credit Card,84.78.154.69,0,,
TXN_000020,2025-09-10 12:19:00,CUST_00009,28374.9,Booking.com,transport,"London, UK",POS Terminal,Mobile App,Wallet,125.248.53.241,1,impossible_travel,Geographically impossible travel time from previous transaction location
TXN_000116,2025-10-03 01:36:00,CUST_00072,547.64,IRCTC,travel,"Ahmedabad, GJ",POS Terminal,POS,Credit Card,89.218.167.240,0,,
TXN_000017,2025-09-15 16:50:00,CUST_00025,18370.9,Paytm,entertainment,"New York, USA",iOS App,UPI,UPI,96.27.34.173,1,impossible_travel,Geographically impossible travel time from previous transaction location
TXN_000144,2025-09-08 14:06:00,CUST_00053,988.78,Ola,electronics,"Chennai, TN",Web Browser,Mobile App,Wallet,97.23.137.97,0,,
TXN_000077,2025-08-24 23:14:00,CUST_00015,1353.22,Apple Store,financial,"Hyderabad, TS",iOS App,ATM,Net Banking,129.180.130.96,0,,
TXN_000153,2025-10-03 16:19:00,CUST_00052,637.9,HDFC Bank,electronics,"Mumbai, MH",Web Browser,UPI,UPI,184.245.21.59,0,,
TXN_000177,2025-09-22 14:28:00,CUST_00008,5231.38,Swiggy,utilities,"Pune, MH",POS Terminal,Branch,UPI,83.202.210.236,1,velocity_attack,Velocity cluster - multiple transactions in under 25 minutes
TXN_000066,2025-09-18 20:14:00,CUST_00033,6223.0,HDFC Bank,food,"Mumbai, MH",Android App,Mobile App,Debit Card,132.201.212.45,0,,
TXN_000055,2025-09-09 17:47:00,CUST_00070,768.38,PhonePe,grocery,"Roorkee, UK",Web Browser,UPI,Credit Card,122.122.248.32,0,,
TXN_000095,2025-08-19 20:54:00,CUST_00021,1494.97,IRCTC,transport,"Mumbai, MH",UPI App,UPI,UPI,121.31.82.70,0,,
TXN_000004,2025-09-21 22:07:00,CUST_00009,27697.42,Myntra,retail,"Hyderabad, TS",Web Browser,Internet Banking,Debit Card,139.63.136.180,1,account_takeover_burst,Sudden burst of transactions after period of inactivity (possible ATO)
TXN_000059,2025-09-05 16:36:00,CUST_00025,1029.26,Starbucks,transport,Singapore,UPI App,Branch,Credit Card,175.19.64.129,0,,
TXN_000122,2025-09-27 18:11:00,CUST_00054,4339.05,Walmart,entertainment,"Mumbai, MH",POS Terminal,UPI,Credit Card,62.159.245.44,0,,
